Ammo_12Ga, Consumable, 70, Common
Enchantment_ChubOil, Enchantment, 100, Rare
Enchantment_ClumpOil, Enchantment, 175, Rare
Enchantment_CollateralOil, Enchantment, 350, Rare
Enchantment_ComplicatedOil, Enchantment, 800, Rare
Enchantment_CompoOil, Enchantment, 1100, Rare
Enchantment_ConfidenceOil, Enchantment, 750, Rare
Enchantment_CongestionOil, Enchantment, 300, Rare
Enchantment_ConsiderateOil, Enchantment, 300, Rare
Enchantment_ContainedForceOil, Enchantment, 500, Rare
Enchantment_CorpseExplosion, Enchantment, 3000, Legendary
Enchantment_CorrosiveBlood, Enchantment, 3000, Legendary
Enchantment_CriticalOil, Enchantment, 800, Rare
Enchantment_Crusader, Enchantment, 1000, Legendary
Enchantment_CycleOil, Enchantment, 800, Rare
Enchantment_DamageOil, Enchantment, 1300, Rare
Enchantment_Dark, Enchantment, 1000, Epic
Enchantment_DartOil, Enchantment, 230, Rare
Enchantment_DeadCenterOil, Enchantment, 800, Rare
Enchantment_DelayedHyperTubeOil, Enchantment, 400, Rare
Enchantment_DenseOil, Enchantment, 700, Rare
Enchantment_DetuneOil, Enchantment, 800, Rare
Enchantment_DieselOil, Enchantment, 225, Rare
Enchantment_DischargeOil, Enchantment, 800, Rare
Enchantment_DisposableOil, Enchantment, 650, Rare
Enchantment_DivisionOil, Enchantment, 700, Rare
Enchantment_DoOverOil, Enchantment, 800, Rare
Enchantment_DoubleFireOil, Enchantment, 800, Rare
Enchantment_DoubleLockOil, Enchantment, 800, Rare
Enchantment_DoubleNothingOil, Enchantment, 700, Rare
Enchantment_Duality, Enchantment, 800, Rare
Enchantment_DumDumOil, Enchantment, 1000, Rare
Enchantment_DynamicOil, Enchantment, 450, Rare
Enchantment_Earth, Enchantment, 1000, Epic
Enchantment_EasyOil, Enchantment, 900, Rare
Enchantment_EasyPlopOil, Enchantment, 300, Rare
Enchantment_Electricity, Enchantment, 1000, Epic
Enchantment_ElephantOil, Enchantment, 650, Rare
Enchantment_EternalOil, Enchantment, 4000, Rare
Enchantment_ExoticBarrelOil, Enchantment, 500, Rare
Enchantment_ExpanderOil, Enchantment, 500, Rare
Enchantment_ExtraPowderOil, Enchantment, 400, Rare
Enchantment_FarsightedOil, Enchantment, 200, Rare
Enchantment_FastBetOil, Enchantment, 450, Rare
Enchantment_FastForwardOil, Enchantment, 1000, Rare
Enchantment_Fear, Enchantment, 2500, Legendary
Enchantment_FeatureGun, Enchantment, 1200, Rare
Enchantment_FidgetLordOil, Enchantment, 1000, Rare
Enchantment_FidgetOil, Enchantment, 450, Rare
Enchantment_Fire, Enchantment, 1000, Epic
Enchantment_FirstBloodOil, Enchantment, 1200, Rare
Enchantment_FlameThrower, Enchantment, 5000, Legendary
Enchantment_FleaOil, Enchantment, 800, Rare
Enchantment_FlopOil, Enchantment, 400, Rare
Enchantment_FlowFunnelOil, Enchantment, 650, Rare
Enchantment_Flutter, Enchantment, 700, Rare
Enchantment_FoodStampOil, Enchantment, 300, Rare
Enchantment_ForceOil, Enchantment, 1000, Rare
Enchantment_FragileSystemOil, Enchantment, 500, Rare
Enchantment_FranciscanOil, Enchantment, 450, Rare
Enchantment_Frost, Enchantment, 1000, Epic
Enchantment_FrugalOil, Enchantment, 700, Rare
Enchantment_GamblerOil, Enchantment, 650, Rare
Enchantment_GargantuanOil, Enchantment, 400, Rare
Enchantment_GeminiOil, Enchantment, 800, Rare
Enchantment_GentleOil, Enchantment, 300, Rare
Enchantment_GlassCannonOil, Enchantment, 800, Rare
Enchantment_GreatOil, Enchantment, 450, Rare
Enchantment_GroundedOil, Enchantment, 500, Rare
Enchantment_GunslingerOil, Enchantment, 900, Rare
Enchantment_HappyAccidentOil, Enchantment, 800, Rare
Enchantment_HeavyLeadOil, Enchantment, 100, Rare
Enchantment_HeavyOil, Enchantment, 650, Rare
Enchantment_HeavyPocketsOil, Enchantment, 800, Rare
Enchantment_HeftyOil, Enchantment, 1000, Rare
Enchantment_HeliumOil, Enchantment, 650, Rare
Enchantment_HighGradeOil, Enchantment, 1200, Rare
Enchantment_HipBlasterOil, Enchantment, 700, Rare
Enchantment_HipMarksmanOil, Enchantment, 800, Rare
Enchantment_HolyFire, Enchantment, 7000, Legendary
Enchantment_HolyPurge, Enchantment, 6000, Legendary
Enchantment_HoopOil, Enchantment, 500, Rare
Enchantment_HunterOil, Enchantment, 1100, Rare
Enchantment_HustlerOil, Enchantment, 500, Rare
Enchantment_HyperLeadOil, Enchantment, 800, Rare
Enchantment_ImperfectOil, Enchantment, 500, Rare
Enchantment_InconsiderateOil, Enchantment, 250, Rare
Enchantment_InheritedOil, Enchantment, 1500, Rare
Enchantment_InstantOil, Enchantment, 500, Rare
Enchantment_JudgementOil, Enchantment, 800, Rare
Enchantment_JungianOil, Enchantment, 600, Rare
Enchantment_KeepOil, Enchantment, 700, Rare
Enchantment_KickerOil, Enchantment, 650, Rare
Enchantment_KineticOil, Enchantment, 350, Rare
Enchantment_LastDropOil, Enchantment, 250, Rare
Enchantment_LateBoomOil, Enchantment, 150, Rare
Enchantment_LauncherOil, Enchantment, 800, Rare
Enchantment_Lava, Enchantment, 4000, Legendary
Enchantment_LazyOil, Enchantment, 800, Rare
Enchantment_LeastResistance, Enchantment, 6000, Legendary
Enchantment_LessRecoilOil, Enchantment, 1200, Rare
Enchantment_Light, Enchantment, 1000, Epic
Enchantment_LightweightOil, Enchantment, 700, Rare
Enchantment_LongshotOil, Enchantment, 1200, Rare
Enchantment_LostInFocusOil, Enchantment, 650, Rare
Enchantment_LowRollerOil, Enchantment, 700, Rare
Enchantment_MachineOil, Enchantment, 1000, Rare
Enchantment_MainDisciplineOil, Enchantment, 650, Rare
Enchantment_MainFocusOil, Enchantment, 700, Rare
Enchantment_ManifestationOil, Enchantment, 1100, Rare
Enchantment_MatrixOil, Enchantment, 300, Rare
Enchantment_MicroWingOil, Enchantment, 300, Rare
Enchantment_ModernTechnologyOil, Enchantment, 600, Rare
Enchantment_MosquitoOil, Enchantment, 650, Rare
Enchantment_MultichamberOil, Enchantment, 1200, Rare
Enchantment_MultishotOil, Enchantment, 600, Rare
Enchantment_Nature, Enchantment, 1000, Epic
Enchantment_NeedleeyeOil, Enchantment, 200, Rare
Enchantment_NerfOil, Enchantment, 650, Rare
Enchantment_NoLookOil, Enchantment, 800, Rare
Enchantment_NoNeedOil, Enchantment, 1000, Rare
Enchantment_Noxiosa, Enchantment, 3000, Legendary
Enchantment_OutOfTheBoxOil, Enchantment, 400, Rare
Enchantment_OverclockOil, Enchantment, 1000, Rare
Enchantment_OverdoseOil, Enchantment, 100, Rare
Enchantment_OverOil, Enchantment, 400, Rare
Enchantment_ParallelMagOil, Enchantment, 800, Rare
Enchantment_PeashooterOil, Enchantment, 1000, Rare
Enchantment_PenetrationOil, Enchantment, 1000, Rare
Enchantment_PerfectBounceOil, Enchantment, 800, Rare
Enchantment_PerforateOil, Enchantment, 800, Rare
Enchantment_Pesticide, Enchantment, 4500, Legendary
Enchantment_Petrification, Enchantment, 4000, Legendary
Enchantment_Petroleum, Enchantment, 400, Legendary
Enchantment_PlinkerOil, Enchantment, 800, Rare
Enchantment_PlopBackOil, Enchantment, 800, Rare
Enchantment_Poison, Enchantment, 1000, Epic
Enchantment_PoolOil, Enchantment, 1200, Rare
Enchantment_PotatoOil, Enchantment, 400, Rare
Enchantment_PotShotOil, Enchantment, 800, Rare
Enchantment_Prism, Enchantment, 3000, Legendary
Enchantment_PuncherOil, Enchantment, 1200, Rare
Enchantment_PunctureOil, Enchantment, 800, Rare
Enchantment_PurseGunOil, Enchantment, 1200, Rare
Enchantment_Pyroclasm, Enchantment, 2000, Legendary
Enchantment_RapidInternalsOil, Enchantment, 400, Rare
Enchantment_ReadyOil, Enchantment, 800, Rare
Enchantment_ReboundOil, Enchantment, 500, Rare
Enchantment_RecycleOil, Enchantment, 1000, Rare
Enchantment_RelaxOil, Enchantment, 800, Rare
Enchantment_ReleaseOil, Enchantment, 1100, Rare
Enchantment_ReloadOil, Enchantment, 1100, Rare
Enchantment_RicochetOil, Enchantment, 650, Rare
Enchantment_RigidSystemOil, Enchantment, 800, Rare
Enchantment_RigorOil, Enchantment, 125, Rare
Enchantment_RobustMechanicsOil, Enchantment, 800, Rare
Enchantment_RocketLauncher, Enchantment, 2000, Legendary
Enchantment_RookieOil, Enchantment, 300, Rare
Enchantment_RubberOil, Enchantment, 500, Rare
Enchantment_RushJobOil, Enchantment, 800, Rare
Enchantment_Sacrifice, Enchantment, 3500, Legendary
Enchantment_SafetyOil, Enchantment, 650, Rare
Enchantment_Satiety, Enchantment, 600, Rare
Enchantment_SaviourOil, Enchantment, 900, Rare
Enchantment_ScatterOil, Enchantment, 800, Rare
Enchantment_ScrambleOil, Enchantment, 600, Rare
Enchantment_SeatedFitOil, Enchantment, 800, Rare
Enchantment_SeatedOil, Enchantment, 500, Rare
Enchantment_SectOil, Enchantment, 600, Rare
Enchantment_SenderOil, Enchantment, 500, Rare
Enchantment_SensibleOil, Enchantment, 650, Rare
Enchantment_ShavedClipOil, Enchantment, 550, Rare
Enchantment_ShellManOil, Enchantment, 800, Rare
Enchantment_SherlockOil, Enchantment, 800, Rare
Enchantment_ShowerOil, Enchantment, 500, Rare
Enchantment_ShredderOil, Enchantment, 700, Rare
Enchantment_SizeUpOil, Enchantment, 500, Rare
Enchantment_SkipOil, Enchantment, 650, Rare
Enchantment_Slayer, Enchantment, 800, Rare
Enchantment_SlickOil, Enchantment, 1000, Rare
Enchantment_SlippyCoatingOil, Enchantment, 1200, Rare
Enchantment_SlotmachineOil, Enchantment, 700, Rare
Enchantment_SlowMoOil, Enchantment, 1000, Rare
Enchantment_SlowPunchOil, Enchantment, 500, Rare
Enchantment_Slush, Enchantment, 3000, Legendary
Enchantment_SmartBulletOil, Enchantment, 500, Rare
Enchantment_SmashOil, Enchantment, 600, Rare
Enchantment_SoftBulletOil, Enchantment, 700, Rare
Enchantment_SolidOil, Enchantment, 350, Rare
Enchantment_SpartanOil, Enchantment, 1000, Rare
Enchantment_SpeedTradeOil, Enchantment, 400, Rare
Enchantment_SpitterOil, Enchantment, 700, Rare
Enchantment_SpreadOil, Enchantment, 900, Rare
Enchantment_StabilityOil, Enchantment, 800, Rare
Enchantment_StableHipOil, Enchantment, 1100, Rare
Enchantment_StationaryOil, Enchantment, 1200, Rare
Enchantment_Steam, Enchantment, 5000, Legendary
Enchantment_StiffyFitOil, Enchantment, 900, Rare
Enchantment_StoicOil, Enchantment, 1100, Rare
Enchantment_StormSurge, Enchantment, 4000, Legendary
Enchantment_SupressiveOil, Enchantment, 300, Rare
Enchantment_SurgicalLaserOil, Enchantment, 400, Rare
Enchantment_SynchronicityOil, Enchantment, 800, Rare
Enchantment_TacticalOil, Enchantment, 650, Rare
Enchantment_TandemOil, Enchantment, 800, Rare
Enchantment_TaskOil, Enchantment, 900, Rare
Enchantment_TechSupportOil, Enchantment, 1100, Rare
Enchantment_TensionOil, Enchantment, 1100, Rare
Enchantment_TerminatorOil, Enchantment, 1000, Rare
Enchantment_TestOil, Enchantment, 400, Rare
Enchantment_TestOil2, Enchantment, 400, Rare
Enchantment_TetrisOil, Enchantment, 1200, Rare
Enchantment_ThoroughOil, Enchantment, 900, Rare
Enchantment_Thunderbolt, Enchantment, 6000, Legendary
Enchantment_TightBarrelOil, Enchantment, 500, Rare
Enchantment_TightOil, Enchantment, 400, Rare
Enchantment_TooMuchOil, Enchantment, 900, Rare
Enchantment_ToxicLobotomy, Enchantment, 4000, Legendary
Enchantment_Trinity, Enchantment, 800, Rare
Enchantment_TrustyOldOil, Enchantment, 750, Rare
Enchantment_TurbulenceOil, Enchantment, 600, Rare
Enchantment_TwiceOil, Enchantment, 1000, Rare
Enchantment_TwoTimeOil, Enchantment, 1300, Rare
Enchantment_UnlabeledOil, Enchantment, 300, Rare
Enchantment_UntechnicalOil, Enchantment, 300, Rare
Enchantment_VasectomyOil, Enchantment, 700, Rare
Enchantment_VeganOil, Enchantment, 800, Rare
Enchantment_VegetableOil, Enchantment, 800, Rare
Enchantment_VelocityOil, Enchantment, 220, Rare
Enchantment_Voodoo, Enchantment, 1200, Legendary
Enchantment_WalkEasyOil, Enchantment, 250, Rare
Enchantment_WasterOil, Enchantment, 800, Rare
Enchantment_Water, Enchantment, 1000, Epic
Enchantment_WhimOil, Enchantment, 450, Rare
Enchantment_WhosCountingOil, Enchantment, 500, Rare
Enchantment_WobbleOil, Enchantment, 800, Rare
Enchantment_XanaxOil, Enchantment, 500, Rare
Enchantment_ZeroFucksOil, Enchantment, 800, Rare
Enchantment_ZoomingOil, Enchantment, 450, Rare
Item_AirBat, Armor, 800, Rare
Item_AirDuster, Misc, 180, Common
Item_Americano, Consumable, 15, 35, Rare
Item_Amulet, Misc, 0, Legendary
Item_Aspic, Consumable, 15, 90, Common
Item_AssWheel, Misc, 9000, Epic
Item_BadassVest, Armor, 700, Rare
Item_Balaklava, Armor, 500, Uncommon
Item_BallisticHelmet, Armor, 1100, Epic
Item_BallisticVest, Armor, 2300, Epic
Item_Banana, Consumable, 10, 30, Common
Item_BananaBread, Consumable, 30, 90, Common
Item_BananaPeel, Misc, 10, Common
Item_BananaSulfs, Consumable, 20, 20, Common
Item_BandanaBlue, Armor, 460, Common
Item_BandanaRed, Armor, 460, Common
Item_Bark, Misc, 100, Common
Item_BarkBread, Consumable, 10, 35, Common
Item_Bathrobe, Armor, 700, Rare
Item_Beanie, Armor, 300, Common
Item_Beans, Consumable, 25, 120, Common
Item_BeefJerky, Consumable, 10, 60, Common
Item_BeerHelmet, Armor, 460, Common
Item_BeGone, Misc, 250, Common
Item_Berries, Consumable, 10, 40, Common
Item_BiscuitsAndGravy, Consumable, 25, 130, Rare
Item_BlackPepper, Consumable, 1, 30, Common
Item_Bladder, Misc, 100, Common
Item_BlastBoot, Armor, 400, Rare
Item_Bleach, Misc, 120, Common
Item_Blindfold, Armor, 150, Common
Item_Blood, Consumable, 5, 60, Common
Item_BloodBag, Gadget, 100, Epic
Item_BloodPudding, Consumable, 30, 90, Common
Item_BlueSlipper, Armor, 300, Common
Item_BobaTea, Consumable, 15, 60, Common
Item_Bomb, Gadget, 100, Epic
Item_Bone, Misc, 35, Common
Item_Boomerang, Gadget, 100, Epic
Item_Boomerang2, Gadget, 100, Epic
Item_Bottle, Gadget, 100, Epic
Item_BottledScream, Gadget, 100, Epic
Item_BottledWater, Consumable, 5, 40, Common
Item_Brain, Misc, 200, Common
Item_Bread, Consumable, 15, 90, Common
Item_Breastplate, Armor, 2100, Uncommon
Item_Broth, Consumable, 10, 40, Common
Item_Butter, Consumable, 15, 60, Common
Item_ButtermilkPancakes, Consumable, 30, 220, Common
Item_Cacao, Consumable, 5, 40, Common
Item_Cactus, Consumable, 3, 40, Common
Item_CactusDrink, Consumable, 15, 60, Common
Item_CactusGrilled, Consumable, 20, 80, Common
Item_CactusSweets, Consumable, 10, 30, Common
Item_Caltrops, Gadget, 100, Epic
Item_CamoJacket, Armor, 900, Rare
Item_CandyCane, Consumable, 20, 90, Common
Item_Cap, Armor, 200, Common
Item_Cappuccino, Consumable, 35, 35, Rare
Item_CaviarBottle, Consumable, 25, 120, Common
Item_CaviarTubed, Consumable, 30, 240, Common
Item_Cencer, Gadget, 100, Epic
Item_Cereal, Consumable, 35, 110, Common
Item_Cevapi, Consumable, 25, 220, Rare
Item_Cheese, Consumable, 15, 100, Rare
Item_Cheeseburger, Consumable, 45, 250, Rare
Item_CheeseTops, Consumable, 25, 60, Rare
Item_ChestOfDrawers, Misc, 10, Epic
Item_ChickenLeg, Misc, 60, Rare
Item_ChickenNashvilleHot, Consumable, 25, 220, Rare
Item_ChocolateBall, Consumable, 20, 85, Rare
Item_ChocolateBar, Consumable, 25, 180, Rare
Item_ChocolateSyrup, Consumable, 10, 100, Common
Item_ChristmasSock, Armor, 200, Common
Item_ChristmasSpice, Consumable, 1, 10, Common
Item_ChristmasSweater, Armor, 700, Rare
Item_ClergyCollar, Armor, 1, Legendary
Item_ClimbingGear, Gadget, 100, Epic
Item_Clog, Armor, 400, Uncommon
Item_Cloth, Misc, 20, Common
Item_Coffee, Consumable, 20, 35, Rare
Item_CombatBoots, Armor, 610, Uncommon
Item_CordonBleu, Consumable, 25, 350, Rare
Item_CottonCandy, Consumable, 20, 130, Common
Item_CottonSwab, Misc, 25, Common
Item_CowboyBoot, Armor, 330, Uncommon
Item_CowboyHat, Armor, 750, Uncommon
Item_CowboyVest, Armor, 700, Rare
Item_CrawEye, Misc, 50, Common
Item_CrawFlesh, Misc, 40, Common
Item_CrawSkin, Misc, 30, Common
Item_Crown, Armor, 15000, Epic
Item_CryptKey, Misc, 5000, Common
Item_CuissesDeGrenouille, Consumable, 35, 240, Common
Item_CultistHeart, Misc, 150, Common
Item_Curry, Consumable, 35, 30, Common
Item_Currywurst, Consumable, 45, 225, Common
Item_Darklamp, Misc, 10000, Epic
Item_DeathsFavor, Gadget, 100, Epic
Item_DenimJacket, Armor, 700, Rare
Item_DetectivePipe, Misc, 15000, Epic
Item_Dimmie, Consumable, 20, 50, Common
Item_DisgustingCookbook, Gadget, 100, Epic
Item_DishSoap, Misc, 100, Common
Item_DivingMask, Armor, 360, Common
Item_DogEye, Misc, 30, Common
Item_DogFlesh, Misc, 45, Common
Item_DogSkin, Misc, 40, Common
Item_Dogtags, Misc, 1450, Epic
Item_DogWhistle, Misc, 10000, Epic
Item_DoppIGrytan, Consumable, 35, 130, Common
Item_DoubleCheeseburger, Consumable, 200, 600, Rare
Item_DunceCap, Armor, 700, Common
Item_EarProtectors, Armor, 460, Common
Item_Egg, Consumable, 5, 30, Common
Item_EggToddy, Consumable, 10, 180, Common
Item_EncryptedHoodie, Armor, 400, Rare
Item_EnergyGum, Consumable, 80, Common
Item_Escargot, Consumable, 30, 300, Common
Item_ExtraLung, Misc, 500, Uncommon
Item_EyePatch, Armor, 800, Rare
Item_FalseSulfcap, Misc, 30, Common
Item_FatbergChunk, Consumable, 50, Common
Item_FirefighterHelmet, Armor, 700, Common
Item_FirefighterJacket, Armor, 700, Rare
Item_FirstAidKit, Consumable, 100, 60, Common
Item_Fish, Consumable, 10, 40, Common
Item_FishingRod, Gadget, 100, Epic
Item_FishNChips, Consumable, 50, 250, Common
Item_FishSalted, Consumable, 20, 90, Common
Item_Flour, Consumable, 5, 60, Common
Item_FluffyHat, Armor, 380, Uncommon
Item_Fondue, Consumable, 50, 300, Common
Item_FourLeafClover, Misc, 1450, Epic
Item_FrenchHotdog, Consumable, 30, 110, Rare
Item_FrenchToast, Consumable, 15, 150, Common
Item_FrogLeg, Consumable, 3, 60, Rare
Item_FrogmanFoot, Armor, 230, Uncommon
Item_FullEnglishBreakfast, Consumable, 35, 550, Common
Item_FunnyGas, Gadget, 100, Epic
Item_GasMask, Armor, 650, Common
Item_GenieShoe, Armor, 380, Rare
Item_Geta, Armor, 440, Uncommon
Item_GhillieSuit, Armor, 1500, Rare
Item_GoblinEye, Misc, 30, Common
Item_GoblinFlesh, Misc, 50, Common
Item_GoblinSkin, Misc, 30, Common
Item_GoldenSlipper, Armor, 5000, Common
Item_Gonster, Consumable, 10, 40, Common
Item_GravadLax, Consumable, 20, 90, Common
Item_Gravy, Consumable, 20, 60, Common
Item_GreenGlob, Misc, 100, Common
Item_GrilledPoultry, Consumable, 100, 400, Common
Item_GumHubba, Consumable, 10, 80, Common
Item_Haggis, Consumable, 20, 30, Common
Item_HardBread, Consumable, 8, 60, Common
Item_HardHat, Armor, 420, Common
Item_HardshellTaco, Consumable, 25, 60, Common
Item_HauklandMembershipCard, Misc, 1, Rare
Item_Hazelnut, Consumable, 2, 60, Common
Item_HazmatSuit, Armor, 1100, Rare
Item_HealthPotion, Consumable, 80, 60, Common
Item_Heart, Misc, 200, Common
Item_HedgehogSuit, Armor, 700, Rare
Item_Herb, Consumable, 3, 20, Common
Item_HerbalTea, Consumable, 10, 70, Common
Item_HighHeel, Armor, 800, Common
Item_HighQualityElfShoe, Armor, 1200, Rare
Item_HockeyArmor, Armor, 1300, Common
Item_HockeyHelmet, Armor, 420, Common
Item_HolyToast, Consumable, 250, Legendary
Item_HolyWater, Consumable, 500, Legendary
Item_HolyWater_Old, Gadget, 100, Epic
Item_HoodieSklett, Armor, 330, Rare
Item_HotPot, Consumable, 50, 300, Common
Item_HotSauce, Consumable, 5, 180, Common
Item_HotSnax, Consumable, 15, 60, Common
Item_HumanEye, Misc, 120, Common
Item_HumanFlesh, Misc, 60, Common
Item_HumanSkin, Misc, 60, Common
Item_HuntingVest, Armor, 700, Rare
Item_IceSkate, Armor, 380, Rare
Item_InstantDefibrilator, Misc, 10000, Epic
Item_Intestines, Misc, 40, Common
Item_IronFeather, Misc, 3000, Epic
Item_Jam, Consumable, 15, 90, Common
Item_JamUnsweetened, Consumable, 10, 50, Common
Item_JanssonsTemptation, Consumable, 45, 200, Common
Item_Jello, Consumable, 15, 90, Common
Item_Jetpack, Gadget, 100, Epic
Item_Julmust, Consumable, 18, 90, Common
Item_JuniperBranch, Gadget, 100, Epic
Item_KarlOskar, Consumable, 5, 10, Common
Item_Kidney, Misc, 100, Common
Item_KidneyPie, Consumable, 35, 90, Common
Item_KidneyStone, Consumable, 5, 60, Common
Item_KneePads, Misc, 380, Uncommon
Item_KnightsHelmet, Armor, 1000, Uncommon
Item_Kombucha, Consumable, 15, 60, Common
Item_Latte, Consumable, 30, 35, Rare
Item_LeatherJacket, Armor, 650, Rare
Item_Lemonade, Consumable, 60, Common
Item_Leverpastej, Consumable, 20, 60, Common
Item_LibraryCard, Misc, 4000, Epic
Item_LifeVest, Armor, 800, Rare
Item_LightningInABottle, Gadget, 100, Epic
Item_Liquor, Consumable, 60, Common
Item_Liver, Misc, 80, Common
Item_LiverDumpling, Consumable, 20, 50, Common
Item_LizardBladder, Misc, 300, Common
Item_LizardEye, Misc, 35, Common
Item_LizardFlesh, Misc, 50, Common
Item_LizardSkin, Misc, 100, Common
Item_LoadedDice, Misc, 15000, Epic
Item_LockOfTheMagus, Misc, 7000, Epic
Item_Lung, Misc, 60, Common
Item_Lussekatt, Consumable, 30, 160, Common
Item_Lutfisk, Consumable, 25, 90, Common
Item_MacNCheese, Consumable, 30, 90, Common
Item_Maki, Consumable, 30, 150, Common
Item_Marshmallow, Consumable, 40, 200, Common
Item_MashedPotatoes, Consumable, 30, 100, Uncommon
Item_MatchaGum, Consumable, 10, 80, Common
Item_MatchaTeaCup, Consumable, 10, 80, Common
Item_MatchaTeaPowder, Consumable, 5, 40, Common
Item_MeatSkewers, Consumable, 20, 80, Common
Item_Meringue, Consumable, 15, 40, Common
Item_MetabulatorPump, Misc, 8000, Epic
Item_MetalDetector, Gadget, 100, Epic
Item_MetalScrap, Misc, 100, Common
Item_MicrofiberDishCloth, Misc, 50, Common
Item_MilitaryHelmet, Armor, 2500, Common
Item_MilkBlue, Consumable, 10, 40, Common
Item_MilkButtermilk, Consumable, 15, 50, Common
Item_MilkGreen, Consumable, 15, 40, Common
Item_MilkRed, Consumable, 20, 40, Common
Item_MilkshakeBerries, Consumable, 35, 60, Common
Item_MilkshakeChocolate, Consumable, 35, 60, Common
Item_MineralWater, Consumable, 120, Common
Item_Mochi, Consumable, 25, 65, Common
Item_MonkeyPaw, Gadget, 100, Epic
